Pred_Rank,Player,,,
1,Derrick Henry,,,
2,Austin Ekeler,,,
3,Christian McCaffrey,,Bijan ,5
4,Nick Chubb,,Jahmyr,12
5,Saquon Barkley,,Charbonnet,41
6,Tony Pollard,,Roschon,47
7,Josh Jacobs,,Achane,48
8,Travis Etienne,,Evan,53
9,Joe Mixon,,Tank,56
10,Najee Harris,,Tyjae,57
11,Aaron Jones,,Deuce,76
12,Dameon Pierce,,Emari,78
13,Rhamondre Stevenson,,Kendre Miller,82
14,Kenneth Walker III,,Chris Rodriguez,85
15,Miles Sanders,,,
16,Breece Hall,,,
17,Rachaad White,,,
18,Alexander Mattison,,,
19,Alvin Kamara,,,
20,James Conner,,,
21,Cam Akers,,,
22,James Cook,,,
23,Jonathan Taylor,,,
24,Javonte Williams,,,
25,Isiah Pacheco,,,
26,David Montgomery,,,
27,J.K. Dobbins,,,
28,Dalvin Cook,,,
29,Khalil Herbert,,,
30,AJ Dillon,,,
31,D'Andre Swift,,,
32,Brian Robinson Jr.,,,
35,Raheem Mostert,,,
39,Devin Singletary,,,
42,Ezekiel Elliott,,,
44,Gus Edwards,,,
49,Kyren Williams,,,
50,Jerome Ford,,,
56,Zack Moss,,,
