Pred_Rank,Player
1,Bijan Robinson
2,Saquon Barkley
3,Jahmyr Gibbs
4,Christian McCaffrey
5,Derrick Henry
6,Jonathan Taylor
7,Josh Jacobs
8,De'Von Achane
9,Kyren Williams
10,Bucky Irving
11,Chase Brown
12,James Cook
13,Chuba Hubbard
14,James Conner
15,Alvin Kamara
16,TreVeyon Henderson
17,Kenneth Walker III
18,Breece Hall
19,D'Andre Swift
20,David Montgomery
21,Tony Pollard
22,RJ Harvey
23,Isiah Pacheco
24,Tyrone Tracy Jr.
25,Aaron Jones
26,Jaylen Warren
27,J.K. Dobbins
28,Rhamondre Stevenson
29,Austin Ekeler
30,Javonte Williams
